SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12%;PF 17%;PF 17% ALC;PF 17,5%;PF 17,5% ALC;PF 18%;PF 18% ALC;PF 20%;PMC 0%;PMC 12%;PMC 17%;PMC 17% ALC;PMC 17,5%;PMC 17,5% ALC;PMC 18%;PMC 18% ALC;PMC 20%;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2020;TARJA
"SALICILATO DE FENILA;ÁCIDO SALICÍLICO;ÓXIDO DE ZINCO;ENXOFRE;MENTOL";33.379.884/0001-96;LABORATORIO SIMOES LTDA.;5,20501E+14;57600510011;7,9E+12;    -     ;    -     ;TALCO ALÍVIO;TALQUEIRA C/ 100 G;D10A - ANTIACNEICOS TÓPICOS;Similar;Regulado;5,04;5,65;6,53;6,98;6,08;7,03;6,11;7,08;6,15;7,29;7,58;8,72;9,3;8,41;9,37;8,45;9,43;8,5;9,7;Não;Não;Não;Não;;Negativa;Não;Tarja -(*)
"DIENOGESTE;VALERATO DE ESTRADIOL";56.990.534/0001-67;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;5,31E+14;1E+12;7,9E+12;    -     ;    -     ;CHARMELIE;COM REV A + COM REV B + COM REV C + COM REV D 3 ESTOJ CARTOL BL AL PLAS INC X 26 + 2 PLACEBOS ;G3A4 - PREPARAÇÕES CONTRACEPTIVAS TRIFÁSICAS;Similar;Regulado;96,83;108,45;125,32;134,01;116,66;134,95;117,37;135,9;118,09;139,83;145,48;167,4;178,63;161,28;179,84;162,26;181,06;163,25;186,12;Não;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;CO-RENITEC;20 MG + 12,5 MG COM CT BL AL/AL X 30;C9B1 - INIBIDORES DA ECA ASSOCIADOS A ANTI-HIPERTERSIVOS (C2) E/OU DIURÉTICOS (C3);Novo;Regulado;43,76;43,76;49,73;52,72;52,72;53,04;53,04;53,37;53,37;54,7;60,5;68,75;72,88;72,88;73,32;73,32;73,78;73,78;75,62;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;CO-RENITEC;10 MG + 25 MG COM CT BL AL/AL X 30;C9B1 - INIBIDORES DA ECA ASSOCIADOS A ANTI-HIPERTERSIVOS (C2) E/OU DIURÉTICOS (C3);Novo;Regulado;28,74;28,74;32,66;34,63;34,63;34,84;34,84;35,05;35,05;35,93;39,73;45,15;47,87;47,87;48,16;48,16;48,45;48,45;49,67;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;5 MG COM MAST CT 3 BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,4;74,4;74,86;74,86;75,32;75,32;77,2;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;10 MG COM REV CT 3 BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,4;74,4;74,86;74,86;75,32;75,32;77,2;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;4 MG COM  MAST CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,4;36,4;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;4 MG COM MAST CT 3  BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,4;74,4;74,86;74,86;75,32;75,32;77,2;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;5 MG COM MAST CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,4;36,4;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;10 MG COM REV CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,4;36,4;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;4 MG GRAN SOL CT 30 ENV AL/PLAS X 500 MG ;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;140,63;140,63;159,81;169,43;169,43;170,46;170,46;171,5;171,5;175,79;194,41;220,93;234,23;234,23;235,65;235,65;237,09;237,09;243,02;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SINGULAIR;4 MG GRAN SOL CT 10 ENV AL/PLAS X 500 MG  ;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;46,81;46,81;53,19;56,4;56,4;56,74;56,74;57,09;57,09;58,51;64,71;73,53;77,97;77,97;78,44;78,44;78,92;78,92;80,89;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
LOSARTANA POTÁSSICA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;COZAAR;100 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30;C9C - ANTAGONISTAS DA ANGIOTENSINA II PUROS;Novo;Regulado;47,5;47,5;53,98;57,23;57,23;57,58;57,58;57,93;57,93;59,38;65,67;74,62;79,12;79,12;79,6;79,6;80,08;80,08;82,09;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
LOSARTANA POTÁSSICA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;COZAAR;50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30;C9C - ANTAGONISTAS DA ANGIOTENSINA II PUROS;Novo;Regulado;32,21;32,21;36,6;38,81;38,81;39,04;39,04;39,28;39,28;40,26;44,53;50,6;53,65;53,65;53,97;53,97;54,3;54,3;55,66;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
LOSARTANA POTÁSSICA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;COZAAR;50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 15;C9C - ANTAGONISTAS DA ANGIOTENSINA II PUROS;Novo;Regulado;23;23;26,14;27,71;27,71;27,88;27,88;28,05;28,05;28,75;31,8;36,14;38,31;38,31;38,54;38,54;38,78;38,78;39,75;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;ZOCOR;20 MG COM REV CT BL AL PVC/PE/PVDC INC X 30 ;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;71,88;71,88;81,68;86,6;86,6;87,13;87,13;87,66;87,66;89,85;99,37;112,92;119,72;119,72;120,45;120,45;121,18;121,18;124,21;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;ZOCOR;40 MG COM REV CT BL AL PVC/PE/PVDC INC X 10;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;32,59;32,59;37,03;39,27;39,27;39,5;39,5;39,74;39,74;40,74;45,05;51,19;54,29;54,29;54,61;54,61;54,94;54,94;56,32;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;ZOCOR;80 MG COM REV CT BL AL PVC/PE/PVDC INC X 10   ;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;32,59;32,59;37,03;39,27;39,27;39,5;39,5;39,74;39,74;40,74;45,05;51,19;54,29;54,29;54,61;54,61;54,94;54,94;56,32;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
